layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
8,Linear,0.12618246718985204,512,1024,2.0,10.578931552027065,0.7143607187182531,0.9870464126703219,True,1.168225646018982,dense,1.8170532056932187,2.3177117095857094,0.06752673606072931,backbone.layers.0.tada.tada_pre_proj,512,207.8316615074873,512,39,0,1,1.5338566248513918,1.168225646018982,177.90369712882534,success,1.0808448791503906,0.1906404048204422,under-trained,0,1.168225646018982,0.9104974865913391
9,TAdaConv2dV2,0.05256466867266105,1,1,1.0,6.024769233348894,-13.91302656621283,1.0053858568554663,True,0.004905638284981251,conv2d,-13.267765255873032,-0.05147082589099362,-2.3093044774561786,backbone.layers.0.tada.tadaconv,1536,0.8882376424502288,1536,70,0,512,0.6005747943001846,0.004905638284981251,181.06464252971796,success,0.070040263235569,0.020665673539042473,under-trained,58,0.004905638284981251,0.002057876205071807
25,Linear,0.046987452265917995,512,1024,2.0,2.530889104080235,-5.852194727430545,0.8740823770555959,True,0.004871830344200134,dense,-5.663044398648394,-1.2013347064502922,-2.312307843909789,backbone.layers.0.tada.tada_proj,512,0.06290212155886366,512,79,0,1,0.1722384808660153,0.004871830344200134,12.911394099293299,success,0.06979849934577942,0.0016195648349821568,,0,0.004871830344200134,0.000202687835553661
27,NonDynamicallyQuantizableLinear,0.0769950453335686,1024,1024,1.0,4.90805258813952,1.6901247941474171,0.9394217228653922,True,2.2098231315612793,dense,2.06878234912997,2.2071533028986092,0.3443575152865441,backbone.layers.0.attn.out_proj,1024,161.1214282121402,1024,153,0,1,0.3159473257130924,2.2098231315612793,72.91145880001041,success,1.4865473508834839,0.0002108686021529138,,5,2.2098231315612793,0.41585806012153625
30,Linear,0.0184640158816618,1024,4096,4.0,2.3987275083911044,5.013845450233322,0.7020128622815287,True,123.0865249633789,dense,5.073309489714978,2.7025324363796512,2.0902105106537308,backbone.layers.0.mlp.c_fc,1024,504.1182690421083,1024,148,1,1,0.1149746929478216,123.0865249633789,4.095641413161149,success,11.094436645507812,0.004115779418498278,,0,123.0865249633789,0.6748153567314148
32,Linear,0.03659346328024826,1024,4096,4.0,2.3337565931771227,3.3557584614094864,0.8306558656104858,True,27.410778045654297,dense,3.6956390963512282,2.5087945319182015,1.4379213630162835,backbone.layers.0.mlp.c_proj,1024,322.6967057409347,1024,244,0,1,0.08538501639016383,27.410778045654297,11.772621163961999,success,5.235530376434326,0.03039580024778843,,0,27.410778045654297,0.30211204290390015
37,Linear,0.13070234246683476,512,1024,2.0,8.268669417148468,0.5481227674124386,0.9869708240030352,True,1.1649012565612793,dense,1.7925771609901862,2.31797324795713,0.06628911373281919,backbone.layers.1.tada.tada_pre_proj,512,207.9568584114313,512,55,0,1,0.9801071842664542,1.1649012565612793,178.5188720847532,success,1.07930588722229,0.18757595121860504,under-trained,0,1.1649012565612793,0.8425279855728149
38,TAdaConv2dV2,0.057098392650499374,1,1,1.0,5.994886254560066,-14.025812390441896,1.0085792387776564,True,0.0045747836120426655,conv2d,-13.344622908848175,-0.03612133644916378,-2.339629443306457,backbone.layers.1.tada.tadaconv,1536,0.9201924455698819,1536,78,0,512,0.5655594994202879,0.0045747836120426655,201.14447449439277,success,0.06763714551925659,0.02927926927804947,,55,0.0045747836120426655,0.0019855182617902756
54,Linear,0.04733715949315315,512,1024,2.0,2.4826075585460305,-5.384067615845567,0.865906013779031,True,0.006780867464840412,dense,-4.970154190918287,-0.9784038719841516,-2.16871474402455,backbone.layers.1.tada.tada_proj,512,0.10509840570193774,512,72,0,1,0.17472697641438825,0.006780867464840412,15.499256731809789,success,0.08234602212905884,0.0021610669791698456,,0,0.006780867464840412,0.00035304937046021223
56,NonDynamicallyQuantizableLinear,0.03550972863835811,1024,1024,1.0,3.81207407204673,1.258427674561232,0.9478272416270218,True,2.1385345458984375,dense,1.8270039338456472,2.2187205114475246,0.3301162702448678,backbone.layers.1.attn.out_proj,1024,165.4704741839949,1024,134,0,1,0.24292620012371727,2.1385345458984375,77.3756376773786,success,1.462372899055481,0.0002371531300013885,,4,2.1385345458984375,0.39744114875793457
59,Linear,0.029799527934686487,1024,4096,4.0,2.8209994787885413,5.464547684392818,0.8654974358410069,True,86.51597595214844,dense,5.48196656259862,2.873794274588865,1.937096311247647,backbone.layers.1.mlp.c_fc,1024,747.8151763489004,1024,91,0,1,0.19089261412925443,86.51597595214844,8.643665729003777,success,9.301396369934082,0.06106982007622719,,0,86.51597595214844,1.949761152267456
61,Linear,0.02755340796639738,1024,4096,4.0,3.7813881476360227,4.338826320821023,0.9562164967754938,True,14.041589736938477,dense,4.375515579721256,2.659361374663091,1.1474162797948921,backbone.layers.1.mlp.c_proj,1024,456.4165403249208,1024,127,0,1,0.24680828780176517,14.041589736938477,32.50462012319372,success,3.74721097946167,0.05498106777667999,,0,14.041589736938477,1.0866574048995972
66,Linear,0.1196093056943135,512,1024,2.0,35.77556725873496,2.613233812210009,0.9871661421464587,True,1.1831647157669067,dense,2.9266082840638075,2.3161158783154074,0.07304520969047562,backbone.layers.2.tada.tada_pre_proj,512,207.06937769427896,512,8,0,1,12.295019714130182,1.1831647157669067,175.01314477592427,success,1.0877337455749512,0.1903492510318756,under-trained,0,1.1831647157669067,1.0862332582473755
67,TAdaConv2dV2,0.06283092285425118,1,1,1.0,12.068521940879707,-28.981527643971265,1.006610956032738,True,0.003968123346567154,conv2d,-28.584207113063286,-0.035766551747275825,-2.4014148365428354,backbone.layers.2.tada.tadaconv,1536,0.9209444781255552,1536,19,0,512,2.5392930839293326,0.003968123346567154,232.08564797318348,success,0.06299304217100143,0.023259276524186134,under-trained,63,0.003968123346567154,0.002853596117347479
83,Linear,0.03211111808099365,512,1024,2.0,2.6377812624283785,-5.080334949252211,0.8768599354321501,True,0.0118580162525177,dense,-4.804150634331367,-0.7620456651100234,-1.9259879587495374,backbone.layers.2.tada.tada_proj,512,0.17296344823898835,512,63,0,1,0.2063410439193763,0.0118580162525177,14.586204349506154,success,0.10889451950788498,0.00320257106795907,,0,0.0118580162525177,0.0006455030525103211
85,NonDynamicallyQuantizableLinear,0.018301306258157624,1024,1024,1.0,3.9631479875855855,0.8049550159668034,0.9692675073953018,True,1.5962834358215332,dense,1.424266910217348,2.1901161799381654,0.2031100071176487,backbone.layers.2.attn.out_proj,1024,154.9231004766094,1024,133,1,1,0.25693751612107946,1.5962834358215332,97.05237616330814,success,1.2634410858154297,3.751945405383594e-05,,3,1.5962834358215332,0.3378196358680725
88,Linear,0.02464530095860054,1024,4096,4.0,2.7359214848605826,5.353972793596953,0.883010781699162,True,90.55606842041016,dense,5.361647902795046,2.846824196324262,1.956917558937106,backbone.layers.2.mlp.c_fc,1024,702.7877717504743,1024,187,0,1,0.12694315123283664,90.55606842041016,7.760802605605116,success,9.516095161437988,0.06108292192220688,,0,90.55606842041016,1.0470571517944336
90,Linear,0.026395279145319195,1024,4096,4.0,3.299278552881342,3.8583897427202847,0.9584754768118913,True,14.772863388061523,dense,3.954193212488265,2.6588681541933017,1.16946468171069,backbone.layers.2.mlp.c_proj,1024,455.8984904550016,1024,96,0,1,0.23466913462850822,14.772863388061523,30.8605365445557,success,3.84354829788208,0.04613897576928139,,0,14.772863388061523,1.1220623254776
95,Linear,0.12427157694886426,512,1024,2.0,9.215682668930521,0.6898197843717291,0.9867318361888957,True,1.1880995035171509,dense,1.808068426403218,2.316884253172867,0.07485281439836976,backbone.layers.3.tada.tada_pre_proj,512,207.4360591582954,512,46,0,1,1.2113363238550021,1.1880995035171509,174.59485383523767,success,1.089999794960022,0.19297927618026733,under-trained,0,1.1880995035171509,0.8782680034637451
96,TAdaConv2dV2,0.07419898887275023,1,1,1.0,4.142243732396529,-9.938793462246718,1.0083578449244888,True,0.003986810799688101,conv2d,-8.629829664018843,-0.03639073796900565,-2.399374373969189,backbone.layers.3.tada.tadaconv,1536,0.9196218088692878,1536,213,0,512,0.21530299289644253,0.003986810799688101,230.6660273272141,success,0.06314119696617126,0.023199796676635742,,42,0.003986810799688101,0.0013749911449849606
112,Linear,0.03774722470184122,512,1024,2.0,2.6423356989120896,-3.809402070369767,0.8466418432695499,True,0.03616764023900032,dense,-3.7558432694736927,-0.5593281198248296,-1.4416798258972867,backbone.layers.3.tada.tada_proj,512,0.27584929615932197,512,64,0,1,0.2052919623640112,0.03616764023900032,7.626964168424456,success,0.19017791748046875,0.0037624225951731205,,0,0.03616764023900032,0.0009488789946772158
114,NonDynamicallyQuantizableLinear,0.053539330055414336,1024,1024,1.0,3.833550860947455,1.0535832344645117,0.963270399771272,True,1.8829214572906494,dense,1.745944624391522,2.2257977936909557,0.27483220457498264,backbone.layers.3.attn.out_proj,1024,168.18907950411332,1024,66,1,1,0.3487860002397941,1.8829214572906494,89.32347063808064,success,1.372195839881897,0.00013834350102115422,,3,1.8829214572906494,0.5180954933166504
117,Linear,0.028872685643414248,1024,4096,4.0,2.9010543361466645,5.196692267258672,0.9239447847300601,True,61.84599685668945,dense,5.2129358354341,2.895644143682949,1.7913115940328082,backbone.layers.3.mlp.c_fc,1024,786.4011568164133,1024,146,0,1,0.15733237631480448,61.84599685668945,12.71547386710695,success,7.864222526550293,0.012284033000469208,,0,61.84599685668945,1.4602527618408203
119,Linear,0.036661860640321176,1024,4096,4.0,3.9792642419435373,4.229729426545229,0.9802461427262258,True,11.55959415435791,dense,4.301760742779113,2.7145992518347835,1.0629425867128042,backbone.layers.3.mlp.c_proj,1024,518.3215334964916,1024,111,0,1,0.2827792476700216,11.55959415435791,44.839077096931376,success,3.399940252304077,0.04970401152968407,,0,11.55959415435791,1.188314437866211
124,Linear,0.11865297951714271,512,1024,2.0,23.17382515279015,1.5232993851181644,0.9870765616014641,True,1.1634122133255005,dense,2.2160577566549655,2.314799055509997,0.06573361864408292,backbone.layers.4.tada.tada_pre_proj,512,206.4424742422998,512,13,0,1,6.14991258165831,1.1634122133255005,177.44568251712272,success,1.0786159038543701,0.1902933269739151,under-trained,0,1.1634122133255005,1.04551362991333
125,TAdaConv2dV2,0.04890300739602438,1,1,1.0,5.757911997691852,-13.445855726405576,1.0065597071457324,True,0.0046217190101742744,conv2d,-12.696201108752616,-0.0382726976752171,-2.335196462154259,backbone.layers.4.tada.tadaconv,1536,0.9156453670603838,1536,91,0,512,0.4987647001637659,0.0046217190101742744,198.1179221507577,success,0.0679832249879837,0.024497170001268387,,52,0.0046217190101742744,0.001960952067747712
141,Linear,0.032097111107100895,512,1024,2.0,2.884711521435504,-5.077244180759546,0.9032772189786107,True,0.017375901341438293,dense,-4.670995879438341,-0.4171827937881285,-1.7600526579631728,backbone.layers.4.tada.tada_proj,512,0.3826636469566438,512,52,0,1,0.26136246269205604,0.017375901341438293,22.022664576488022,success,0.13181768357753754,0.005027567036449909,,0,0.017375901341438293,0.0017039705999195576
143,NonDynamicallyQuantizableLinear,0.05237807560477348,1024,1024,1.0,3.5883116437843467,0.6150763560076815,0.9723789209821849,True,1.483922004699707,dense,1.5813896141344874,2.222486740286876,0.17141107491962504,backbone.layers.4.attn.out_proj,1024,166.91168455955383,1024,102,0,1,0.25628104145509883,1.483922004699707,112.48009264026705,success,1.2181633710861206,0.00046906087663955986,,2,1.483922004699707,0.3975413143634796
